tag-local-identifier,predicted-location-lat,predicted-location-long
226527,-0.23261254,0.148367
226530,-0.35390624,0.03674993
236846,0.8934813,-1.1547325
234469,0.107299216,-0.09436323
236861,0.61044466,2.866407
226517,0.41824567,2.932174
234541,0.4856022,-0.65892094
234522,0.8654036,-1.1585084
234531,-0.6338276,0.31054568
236862,-0.45356926,0.130343
226521,-2.814174,2.2102551
234475,0.16584033,-0.06402972
226554,-1.0582161,1.765909
226543,-0.65223575,1.0316684
226549,-0.84606737,1.1697383
236844,-0.111907154,0.13908817
226529,0.31022614,-0.16084453
236803,0.77600497,-0.8638377
223122,0.31785733,-0.06368692
236820,-0.3922827,0.09404023
234475,0.13336274,-0.05873389
234452,0.83196896,-1.0805502
234537,-0.51657677,0.3026803
234547,0.30147475,-0.03325577
236834,0.31325552,-0.10097268
234511,0.65665233,-0.89274377
236802,0.49793094,-0.71565056
236889,-0.41629001,0.10626483
234472,-0.33563575,0.09711979
236869,-0.71484363,0.36071038
226526,-0.22661866,0.2072302
234528,1.2637758,-1.6101512
236800,1.9678941,-1.9034709
226540,-0.34865996,0.024564356
236826,3.9434593,-3.828054
226520,-0.13129294,-0.21349612
226517,0.41358,2.9336774
234472,-0.33440188,0.100901544
234547,0.30766314,0.0056604743
234490,0.7158646,-0.7132629
234531,-0.6641881,0.32159662
236800,1.9650753,-1.9382485
234470,-0.79948276,1.0270703
234575,0.276844,-0.15320112
226543,-0.65299135,1.0876154
226582,0.8738365,-1.1278273
234480,-2.6397493,1.7306879
236864,0.52534294,0.079332024
234545,1.9419334,-1.94445
236858,0.3232513,-0.09114771
236889,-0.4430064,0.11909278
234486,-2.5059881,1.6109368
236811,-0.27185544,0.15584372
234545,1.8860006,-1.8642399
226514,0.956178,-1.1520433
236832,-0.09440211,0.6383855
234445,-1.2941296,1.1041985
234542,-0.69880956,0.30555767
226530,-0.3233071,0.027417138
234472,-0.3599817,0.07682012
234531,-0.6361088,0.33906096
236862,-0.4597291,0.13775243
226527,-0.16375847,0.18852599
234512,0.34785002,-0.1017792
226517,0.4414749,2.9314215
236830,-0.37491602,0.07437943
234512,0.35478476,-0.09510082
234497,-0.6308974,0.27771842
236800,1.9632828,-1.9220437
236858,0.3192059,-0.11634088
234451,0.20690298,-0.10489531
234542,-0.68407923,0.29654074
236794,0.08460995,-0.45257157
236858,0.30720332,-0.121699184
236872,0.05074092,-0.053005584
234447,0.9788502,-1.1518868
236843,-0.34184888,0.63628125
234451,0.2596087,-0.093743406
234480,-2.6159594,1.7127081
234511,0.6629345,-0.8805862
226568,0.5031152,-0.6804337
234451,0.24959111,-0.12120357
226611,-0.77411246,0.34530777
236799,1.7146028,-0.78850365
223155,1.1171491,0.28953582
234441,0.3544285,-0.10950923
236820,-0.4317686,0.118475094
236792,-0.93085474,0.9797642
234541,0.45989865,-0.5980958
234453,0.2798662,-0.42165774
226517,0.40024698,2.9256845
234545,1.9436951,-1.9567355
234468,0.28183323,-0.13317718
234537,-0.4977647,0.3285402
236837,-0.5439482,0.86123466
236818,1.1110506,0.30228758
226524,0.29010856,-0.16083238
236846,0.9124839,-1.1761187
236862,-0.44775742,0.12632616
234497,-0.51633865,0.18414883
236791,-0.36672357,0.066450104
234556,0.19628233,-0.27530104
236850,0.4915483,-0.038644895
234470,-0.79586536,1.0774194
